Scheme Name,Ministries/Departments,Description & Benefits,Tags
Makhana Beej Vitaran,Bihar,The scheme aims to boost farmers' income by improving the production and productivity of Makhana in 11 districts of Bihar through the distribution of high-quality seeds at subsidized rates.,"Agriculture, Financial Assistance, Makhana Seed Distribution, Seed Supply, Subsidy"
Dr. D.S. Kothari Research Grant For Newly Recruited Faculty Members,Ministry of Education,"The scheme ""Dr. D.S. Kothari Research Grant for Newly Recruited Faculty Members"" is a research grant scheme by the University Grants Commission (UGC), Department of Higher Education (DoHE). The purpose of the research grant is to provide opportunities to regularly appointed faculty members.","Faculty, Research"
Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana: Natural Death,Bihar,"The component “Natural Death” under the “Bihar Shatabdi Asangathit Karyakshetra Kamagaar Evan Shilpakar Samajik Suraksha Yojana” launched by the Labour Resources Department, Bihar, provides financial assistance of ₹30,000/- to the families of workers or craftsmen in case of natural death.","Craftsmen, Social Security, Unorganised Worker"
Children With Special Needs Under Goa Sarva Shiksha Abhivan,Goa,"The ""Children With Special Needs (CWSN)"" scheme aims to provide comprehensive educational support and resources tailored to the needs of children with disabilities. It is designed to ensure that every child, regardless of their disability type (intellectual, physical, etc.), receives the necessary a","Children, Disability, Education, Goa, Medical"
Jharkhand State Scheduled Caste Post-Matric Scholarship Scheme,Jharkhand,"The ""Jharkhand State Scheduled Caste Post-Matric Scholarship Scheme"" promotes higher education among Scheduled Caste students in Jharkhand by providing financial assistance. This scheme aims to increase the participation of SC students in post-matric education.","Post-Matric, Scheduled Caste, Scholarship, Student"
Tool/Equipment Purchase Subsidy Scheme (MPBOCWWB),Madhya Pradesh,"Launched on January 1, 2018, the ""Tool/Equipment Purchase Subsidy Scheme"" provides financial assistance to construction workers registered under the M.P. Building and Other Construction Workers Welfare Board for the purchase of tools and equipment related to their work.","Building Worker, Construction Workers, Financial Assistance, Labour, Tools"
Sneha Sparsha,Assam,"""Sneha Sparsha"" is a healthcare scheme by the Dept. of Health & Family Welfare, Govt. of Assam. In this scheme, financial assistance shall be provided for specialized treatment of children below 12 years of age affected with some serious ailments.","Child, Disease, Financial Assistance"
Dr. Bhimrao Ambedkar Aarthik Kalyan Yojana,Madhya Pradesh,"The scheme ""Dr. Bhimrao Ambedkar Aarthik Kalyan Yojana"" under the Tribal Welfare and Scheduled Caste Department, Madhya Pradesh, offers a 7% annual interest subsidy on loans for Scheduled Caste beneficiaries, up to 5 years, subject to regular repayment.","Financial Assistance, Scheduled Caste, Self-employment, Term Loan"
Medical Assistance to Beneficiaries (HPBOCWWB),Madhya Pradesh,"The ""Medical Assistance to Beneficiaries"" scheme under the Labour and Employment Department HP, provides financial support for healthcare. It covers ₹50,000 for outdoor treatment, ₹1,00,000 for indoor treatment, and ₹5,00,000 for critical illnesses each year, upon submission of valid medical bills.","Building, Construction, Financial Assistance, Labour, Medical, Worker"
Mukhya Mantri Shramik Seva Prasuti Sahayata Yojana,Madhya Pradesh,"Launched on 1st April 2018, the scheme ""Mukhya Mantri Shramik Seva Prasuti Sahayata Yojana"" by the Labour Department, Government of Madhya Pradesh, provides maternity support to pregnant women over 18 years of age who are registered as unorganized workers.","Birth, Labour, Medical, Pregnancy, Women, Worker"
Funeral Support Scheme (HPBOCWWB),Himachal Pradesh,"The ""Funeral Support Scheme"" under the Labour and Employment Department, Himachal Pradesh, provides ₹20,000 to the nominees or dependents of registered beneficiaries to support funeral expenses.","Building Worker, Construction Workers, Death, Financial Assistance, Funeral"
Mukhyamantri Jan-Van Scheme,Jharkhand,"The Mukhyamantri Jan-Van Scheme aims to promote tree plantation on private lands in Jharkhand to enhance farmers' income, conserve the environment, and reduce pressure on notified forests. Farmers are encouraged to plant trees on their lands with incentives covering 75% of plantation and maintenance","Farmers, Financial Assistance, Increased Income, Trees"
Sant Ravi Das Swarojgaar Yojana,Madhya Pradesh,"The Sant Ravi Das Swarojgaar Yojana under the Tribal Welfare and SC Department, Madhya Pradesh, provides funding for manufacturing units (₹1 lakh to ₹50 lakh) and service/retail trade projects (₹1 lakh to ₹25 lakh) for Scheduled Caste applicants.","Enterprises, Loan Scheme, Scheduled Cast, Self-employment"
Construction Workers Night Shelter Scheme (MPBOCWWB),Madhya Pradesh,"The ""Construction Workers Night Shelter Scheme"" by the Labour Department, Government of Madhya Pradesh provides for the construction of night shelters in urban areas and large Gram Panchayats. These shelters are intended for construction workers and their dependent family members.","Building, Construction, Housing, Labour, Shelter, Worker"
Pay & Play Scheme,Jharkhand,"The “Pay & Play Scheme” aims to provide state-level players with training and practice opportunities at the Mega Sports Complex, Hotwar, Ranchi.","Opportunities, Sports, Training"
NPS Vatsalya Scheme,Ministry Of Finance,"The “NPS Vatsalya” is a pension-cum-saving scheme designed for minors, regulated by PFRDA. It aims to secure the financial future of minors by offering a structured pension scheme, with contributions managed by a guardian until the minor turns 18.","Financial, Minor, NPS, Pension Fund, PFRDA, Saving Cum Pension"
Grant of Stipends to the Physically Handicapped Students,Goa,"""Grant of Stipends to the Physically Handicapped Students"" scheme aims to improve the educational status of handicapped children studying in standards 1st to 10th. Monthly stipends (₹200 to ₹300) are provided to parents who are unable to send their children to school due to economic reasons.","Disability, Education, Financial Assitance, Goa, School, Stipend, Student"
Insurance Scheme For Artisans Component of the Development of Handicrafts Scheme,Puducherry,"Under the scheme ""Insurance Scheme For Artisans"", artisans are covered under Jana Shree Bima Yojana LIC or any other suitable policy. The premium amount, as stipulated in the insurance policy, is shared, with 50% from the Social Security Fund and the remaining 50% from the Government.","Artisans, Death, Disability, Insurance, LIC"
Tripura Health Assurance Scheme For Poor,Tripura,The Tripura Health Assurance Scheme for Poor (THASP) was instituted to provide financial assistance as cashless treatment with health coverage of up to Rs. 1.15 lakh per annum to individuals in the state who fall below the poverty line and have an annual income of less than Rs. 1.5 lakh.,"EWS, Health, Hospital, Illnesses, Medical, Poor"
Scheme for Supply of Male Goat on Subsidy Basis,Madhya Pradesh,"""Male Goat Supply Scheme on Grant Basis"" aims to improve the breed of indigenous/local goats throughout the state. Through this scheme, one male goat of an improved breed (Jamnapari, Barbari, or Sirohi Bakra) is provided to goat farmers of all categories on a grant basis.","Animal, Financial Assistance, Goat, Insurance, Subsidy"
Supply of Kadaknath Chicks on Subsidy,Madhya Pradesh,"The scheme ""Supply of Kadaknath Chicken on Grant"" aims to improve the economic condition of beneficiaries through poultry farming and protect and promote the Kadaknath breed. Beneficiaries receive 40 chicks along with food grains, medicine, and transportation support for 28 days.","Chicken, Farming, Poultry, Subsidy, Veterinary"
Mukhyamantri Vas Sthal Kray Sahayata Yojana,Bihar,"This scheme provides financial assistance to landless beneficiaries for purchasing residential land, ensuring housing for the underprivileged in rural Bihar.","Financial Assistance, Housing, Land Purchase, Rural Development"
Vandan Matru Yojana,Gujarat,This scheme is a Gujarat government initiative providing financial assistance to pregnant and lactating women from economically weaker sections to promote maternal and child health.,"Child Healthcare, Maternity, Pregnant Women"
Assistance for Installation of Sprinkler / Drip Micro Irrigation Systems,Puducherry,"Through this scheme, the Marginal Farmers, Small farmers, Scheduled Caste/ Schedule Tribe Farmers, Women Farmers, Big Farmers and Institutions are provided with a subsidy on the total cost or ₹ 25,000/‐ per hectare whichever is less for the installation of Sprinkler / Drip Micro Irrigation Systems.","Agriculture, Crop, Farmer, Irrigation, Subsidy"
"""Sugarcane Nursery Premium"" Sub-Scheme of the ""Crop Production Technology"" Scheme",Puducherry,"The ""Sugarcane Nursery Premium"" Sub-Scheme of the ""Crop Production Technology"" Scheme is introduced by the Dept of Agriculture and Farmer's Welfare, UT of Puducherry. Through this scheme, the farmers are provided Nursery Premium for Raising Seed Material to Plant One Hectare of Sugarcane.","Farmer, Financial Assistance, Nursery, Seed, Sugarcane"
Mukhyamantri Apprenticeship Yojana,Gujarat,"The scheme aims to enhance the employability of Gujarat's youth through apprenticeship training, offering financial incentives to employers, and promoting skill development across various industries.","Apprenticeship, Employment, Skill Development, Training, Youth"
"""Subsidy for Cultivation of Fodder Crops"" Component of the ""Crop Production Technology"" Scheme",Puducherry,"The ""Subsidy for Cultivation of Fodder Crops"" scheme was introduced by the Department of Agriculture and Farmer's Welfare, Union Territory of Puducherry. Through this scheme, cash incentives are distributed to Farmers and Self Help Groups for undertaking fodder cultivation in the Puducherry region.","Agriculture, Cultivation, Farmer, Fodder, Subsidy"
